CustomerID,CustomerName,Postcode,JoinDate,LastVisitDate,TotalVisits,AvgBasketValue,TotalSpend,CategoryCount,TopCategory,SecondCategory,ThirdCategory,DaysSinceLastVisit,RetentionScore,Segment,OnlineOrders,InStoreVisits,PromotionRedemptions,LoyaltyPoints,PrevMonthSpend,SpendChange,NationalAvgBasket,NationalAvgVisits
CUST-00014,Aaliyah Lewis,2085,2025-06-24,2025-10-26,49,77.33,3789.17,4,Health Devices,Eye Care,First Aid,126,7,At-Risk,2,47,14,3251,384.69,12.2,45.67,30
CUST-00015,Sydney Miller,2140,2026-02-28,2026-02-16,8,20.20,161.60,3,Personal Care,Allergy & Sinus,First Aid,13,50,New Customers,4,4,6,223,41.17,18.2,42.47,35
CUST-00016,Alexander Carter,2150,2024-09-02,2026-02-07,17,36.10,613.70,2,Fragrance,Prescription,,22,28,Occasional Visitors,5,12,1,531,138.19,7.1,45.75,28
CUST-00017,Josephine Hughes,2160,2025-05-10,2026-02-18,25,55.33,1383.25,6,First Aid,Health Devices,Baby & Child,11,69,Regular Shoppers,1,24,3,1887,135.07,10.0,38.28,31
CUST-00018,Camila Wright,2080,2025-07-29,2026-02-20,79,100.43,7933.97,12,Allergy & Sinus,Fragrance,First Aid,9,95,Power Shoppers,18,61,0,9167,265.23,24.0,34.18,20
CUST-00019,William Ryan,2120,2024-04-01,2025-10-30,19,68.99,1310.81,2,OTC Medicines,Beauty & Skincare,,122,12,At-Risk,5,14,2,1891,139.74,22.9,46.27,35
CUST-00020,Reagan Roberts,2150,2024-01-13,2025-10-02,30,39.29,1178.70,2,Digestive Health,Oral Care,,150,23,At-Risk,1,29,0,1219,108.30,-8.1,43.46,31
CUST-00021,Camila Lopez,2228,2023-10-10,2026-02-19,77,60.14,4630.78,10,Health Devices,Digestive Health,Baby & Child,10,79,Power Shoppers,20,57,7,6044,98.62,19.4,42.35,34
CUST-00022,Hailey Park,2190,2025-05-25,2026-02-17,31,69.52,2155.12,7,Baby & Child,Fragrance,Personal Care,12,79,Regular Shoppers,4,27,3,1908,85.77,-14.2,34.83,34
CUST-00023,Allison Lopez,2216,2024-09-24,2026-02-22,31,66.21,2052.51,8,Personal Care,Allergy & Sinus,Digestive Health,7,76,Regular Shoppers,0,31,6,1736,179.20,29.7,32.27,31
CUST-00024,Charlotte Wright,2065,2025-07-04,2026-02-24,37,33.90,1254.30,3,Oral Care,Vitamins & Supplements,Prescription,5,53,Regular Shoppers,4,33,8,1260,160.27,-13.1,43.24,23
CUST-00025,Caroline Harris,2216,2024-07-10,2026-02-08,12,40.70,488.40,1,Baby & Child,,,21,36,Occasional Visitors,4,8,3,476,86.09,-3.0,42.00,23
CUST-00026,Elijah Chen,2090,2026-02-14,2026-02-01,2,31.43,62.86,4,Baby & Child,First Aid,Health Devices,28,46,New Customers,2,0,2,92,139.54,-15.4,41.21,28
CUST-00027,Scarlett Scott,2010,2026-01-13,2026-02-25,4,42.09,168.36,2,Beauty & Skincare,Fragrance,,4,65,New Customers,0,4,3,245,59.84,-12.7,36.66,31
CUST-00028,Thomas King,2085,2025-04-19,2026-02-19,70,127.48,8923.60,9,Prescription,Eye Care,Sun Care,10,95,Power Shoppers,11,59,11,9515,133.87,5.6,36.42,27
CUST-00029,Aaliyah Hayes,2090,2025-04-07,2026-01-30,14,16.99,237.86,3,Baby & Child,Sun Care,OTC Medicines,30,31,Occasional Visitors,0,14,3,349,46.89,-15.6,34.77,33
CUST-00030,Reagan Dunne,2190,2025-07-10,2026-01-11,7,38.07,266.49,2,Prescription,Allergy & Sinus,,49,26,Occasional Visitors,1,6,5,385,56.11,-25.6,43.68,33
CUST-00031,Ivy Walsh,2110,2024-09-07,2026-02-15,15,20.79,311.85,1,Allergy & Sinus,,,14,41,Occasional Visitors,1,14,2,392,79.41,18.0,43.59,26
CUST-00032,Ella O'Neill,2000,2025-07-08,2026-02-18,30,44.38,1331.40,3,Health Devices,Oral Care,First Aid,11,75,Regular Shoppers,3,27,9,1466,220.16,18.8,33.90,34
CUST-00033,Isabella Gallagher,2080,2025-01-23,2025-12-08,16,30.43,486.88,6,Baby & Child,Fragrance,First Aid,83,29,At-Risk,2,14,9,453,79.80,-16.6,47.34,21
CUST-00034,Mia Wright,2234,2025-04-09,2026-02-16,26,61.47,1598.22,6,Oral Care,Eye Care,First Aid,13,56,Regular Shoppers,5,21,14,2075,105.80,-15.9,36.85,32
CUST-00035,Chloe Miller,2080,2025-10-09,2026-02-23,36,49.87,1795.32,4,Health Devices,Eye Care,Prescription,6,69,Regular Shoppers,2,34,15,1839,195.97,1.9,36.01,21
CUST-00036,Maria Taylor,2153,2024-07-03,2025-12-20,37,72.79,2693.23,5,OTC Medicines,Eye Care,Vitamins & Supplements,71,23,At-Risk,3,34,6,2163,135.10,11.1,37.68,33
CUST-00037,Elijah Murphy,2010,2024-07-18,2026-02-24,49,64.64,3167.36,8,First Aid,Oral Care,Baby & Child,5,62,Regular Shoppers,2,47,5,4578,237.56,-13.6,41.68,26
CUST-00038,Anna Jackson,2000,2024-05-27,2026-02-12,46,47.25,2173.50,5,Prescription,Sun Care,First Aid,17,52,Regular Shoppers,2,44,6,2996,136.84,13.5,38.51,35
CUST-00039,Alice Hall,2090,2025-04-18,2025-12-23,22,75.19,1654.18,3,Sun Care,Beauty & Skincare,Personal Care,68,21,At-Risk,1,21,12,1364,372.43,4.6,42.56,22
CUST-00040,Emilia Hernandez,2020,2026-01-10,2026-02-17,4,23.87,95.48,2,Eye Care,Weight Management,,12,67,New Customers,1,3,3,82,111.81,-20.7,34.20,22
CUST-00041,Serenity Young,2216,2024-11-05,2026-02-25,39,41.37,1613.43,7,Allergy & Sinus,Sun Care,Prescription,4,68,Regular Shoppers,5,34,8,1961,51.03,-3.1,45.14,23
CUST-00042,Madelyn Anderson,2170,2025-04-09,2026-01-24,8,37.32,298.56,4,Prescription,Health Devices,Beauty & Skincare,36,40,Occasional Visitors,4,4,6,442,132.81,0.8,41.72,29
CUST-00043,Julia Davis,2060,2024-11-13,2026-02-08,48,63.20,3033.60,5,Eye Care,Beauty & Skincare,First Aid,21,77,Regular Shoppers,5,43,6,3908,149.75,-3.8,39.50,24
CUST-00044,Kaylee King,2080,2024-03-11,2026-02-14,49,66.10,3238.90,3,Baby & Child,Eye Care,Health Devices,15,80,Regular Shoppers,2,47,7,3374,330.01,-21.5,34.93,21
CUST-00045,Ariana Chen,2232,2025-12-27,2026-01-13,14,33.54,469.56,3,OTC Medicines,Baby & Child,Vitamins & Supplements,47,48,Occasional Visitors,4,10,9,647,127.11,6.9,44.75,23
CUST-00046,Lucas Green,2020,2025-11-01,2026-01-31,19,46.89,890.91,1,Health Devices,,,29,41,Occasional Visitors,4,15,5,1094,158.21,-19.9,35.71,20
CUST-00047,Ryan Walsh,2130,2024-08-09,2026-02-26,96,94.50,9072.00,6,Personal Care,First Aid,OTC Medicines,3,84,Power Shoppers,13,83,6,8749,246.17,25.0,36.20,27
CUST-00048,Zoe Allen,2234,2025-09-28,2026-02-20,45,39.59,1781.55,5,Eye Care,Vitamins & Supplements,Baby & Child,9,79,Regular Shoppers,4,41,6,1833,152.12,-3.6,48.00,18
CUST-00049,Layla Ryan,2110,2024-03-20,2026-02-24,93,88.57,8237.01,8,Vitamins & Supplements,Personal Care,Digestive Health,5,99,Power Shoppers,20,73,6,9215,224.64,10.5,35.94,33
CUST-00050,Riley Carroll,2190,2024-06-28,2026-02-20,39,59.26,2311.14,5,Weight Management,Baby & Child,Sun Care,9,52,Regular Shoppers,4,35,4,2904,259.62,-18.9,40.82,28
CUST-00051,Zoe O'Brien,2030,2025-12-08,2026-02-09,1,41.20,41.20,2,Eye Care,OTC Medicines,,20,53,New Customers,0,1,0,46,76.57,-15.8,36.39,23
CUST-00052,Aaliyah Miller,2160,2026-01-31,2026-02-24,4,68.36,273.44,2,Oral Care,Vitamins & Supplements,,5,65,New Customers,5,-1,0,400,136.89,24.2,42.43,18
CUST-00053,Matthew Rivera,2100,2024-05-29,2026-02-21,50,103.64,5182.00,5,Prescription,Weight Management,Personal Care,8,90,Power Shoppers,14,36,3,4502,193.70,-10.6,43.63,19
CUST-00054,Thomas Green,2176,2025-12-20,2026-02-04,2,69.08,138.16,1,Fragrance,,,25,47,New Customers,3,-1,1,123,341.41,23.0,44.65,33
CUST-00055,Jasmine Lopez,2150,2024-03-13,2026-02-24,93,126.88,11799.84,6,Health Devices,Fragrance,Eye Care,5,96,Power Shoppers,18,75,9,13861,160.78,-1.0,33.17,28
CUST-00056,Katherine Hill,2042,2024-12-26,2026-02-11,20,32.80,656.00,4,Vitamins & Supplements,Eye Care,Health Devices,18,56,Regular Shoppers,0,20,8,581,104.95,-25.4,43.60,24
CUST-00057,Claire Murray,2020,2024-11-09,2025-11-18,23,26.90,618.70,2,Sun Care,Baby & Child,,103,29,At-Risk,3,20,13,858,96.57,26.6,35.71,33
CUST-00058,Aaliyah Walsh,2145,2024-10-05,2026-01-29,16,33.26,532.16,4,Fragrance,First Aid,Prescription,31,46,Occasional Visitors,5,11,10,773,129.31,20.0,45.02,31
CUST-00059,Rose Adams,2050,2025-04-03,2026-01-26,4,17.97,71.88,3,Eye Care,Sun Care,Beauty & Skincare,34,27,Occasional Visitors,3,1,3,81,42.20,-1.3,34.77,21
CUST-00060,Josephine Quinn,2125,2025-04-25,2025-09-26,29,25.37,735.73,5,Prescription,Allergy & Sinus,Fragrance,156,29,At-Risk,2,27,12,752,26.86,-6.1,37.28,24
CUST-00061,Penelope Smith,2160,2024-08-09,2026-02-23,31,37.57,1164.67,6,Beauty & Skincare,Prescription,Sun Care,6,70,Regular Shoppers,2,29,15,983,166.31,28.4,39.16,18
CUST-00062,Emma Wang,2190,2024-07-30,2026-02-16,31,42.17,1307.27,5,Weight Management,Vitamins & Supplements,Digestive Health,13,72,Regular Shoppers,5,26,3,1141,201.93,19.9,41.96,30
CUST-00063,Ryan Sullivan,2224,2025-12-04,2026-01-01,17,29.76,505.92,1,Vitamins & Supplements,,,59,54,Occasional Visitors,3,14,8,417,136.59,-14.0,33.19,30
CUST-00064,Hazel Kumar,2070,2025-12-02,2026-02-05,1,57.73,57.73,2,Weight Management,Sun Care,,24,65,New Customers,4,-3,0,73,95.79,23.2,40.52,29
CUST-00065,Ruby Taylor,2160,2024-12-14,2025-09-04,10,49.63,496.30,5,Vitamins & Supplements,Personal Care,Fragrance,178,15,At-Risk,2,8,1,420,185.33,12.0,47.16,21
CUST-00066,Sophia Gonzalez,2060,2024-09-13,2025-10-29,13,69.48,903.24,6,First Aid,Allergy & Sinus,OTC Medicines,123,30,At-Risk,4,9,11,1323,78.73,4.7,42.08,28
CUST-00067,Brooklyn Garcia,2190,2025-05-11,2026-02-22,79,78.31,6186.49,7,Beauty & Skincare,Personal Care,Digestive Health,7,76,Power Shoppers,18,61,15,8900,143.86,-15.1,46.91,26
CUST-00068,Reagan Walker,2040,2024-04-02,2025-09-27,17,44.48,756.16,2,Eye Care,Vitamins & Supplements,,155,5,At-Risk,3,14,0,860,147.68,23.2,37.22,30
CUST-00069,Naomi Li,2234,2024-10-14,2026-02-21,63,137.06,8634.78,11,Fragrance,OTC Medicines,Beauty & Skincare,8,92,Power Shoppers,14,49,15,7114,575.12,-3.4,37.42,30
CUST-00070,Sadie Byrne,2060,2025-05-30,2025-09-20,47,76.31,3586.57,4,OTC Medicines,Allergy & Sinus,First Aid,162,5,At-Risk,5,42,1,3362,202.03,20.4,39.92,19
CUST-00071,Thomas Rivera,2030,2024-08-08,2026-02-12,7,48.76,341.32,4,Eye Care,Sun Care,First Aid,17,39,Occasional Visitors,5,2,3,510,115.09,5.6,35.02,23
CUST-00072,Aria Kennedy,2216,2025-08-07,2026-02-26,103,76.43,7872.29,5,Vitamins & Supplements,Weight Management,First Aid,3,96,Power Shoppers,12,91,3,11113,218.53,-7.4,46.47,19
CUST-00073,Julia Brown,2020,2025-08-09,2026-01-23,11,47.03,517.33,3,Allergy & Sinus,Baby & Child,Beauty & Skincare,37,45,Occasional Visitors,0,11,7,656,197.01,-12.2,44.42,29
CUST-00074,Nevaeh O'Neill,2085,2025-02-05,2026-02-15,33,59.72,1970.76,3,Health Devices,OTC Medicines,Beauty & Skincare,14,79,Regular Shoppers,2,31,1,2850,207.58,21.8,39.38,29
CUST-00075,Samuel Thompson,2150,2025-08-02,2026-01-12,5,43.11,215.55,2,Personal Care,Baby & Child,,48,32,Occasional Visitors,1,4,5,210,198.46,29.2,34.05,31
CUST-00076,Kaylee Robinson,2100,2025-06-07,2026-02-11,23,49.13,1129.99,8,Digestive Health,Sun Care,Fragrance,18,62,Regular Shoppers,2,21,3,930,178.45,18.0,47.94,31
CUST-00077,Kinsley Campbell,2025,2024-09-28,2025-09-30,13,35.61,462.93,6,Sun Care,Oral Care,Fragrance,152,26,At-Risk,1,12,10,402,67.06,27.0,44.74,26
CUST-00078,Kylie Quinn,2125,2025-12-19,2026-02-07,1,34.97,34.97,3,Eye Care,Sun Care,OTC Medicines,22,68,New Customers,4,-3,1,39,163.35,25.2,40.84,30
CUST-00079,Maria Garcia,2130,2024-11-15,2026-02-26,33,39.75,1311.75,5,Eye Care,First Aid,OTC Medicines,3,52,Regular Shoppers,1,32,11,1675,122.83,-14.5,43.85,31
CUST-00080,Anna Li,2234,2024-11-10,2025-09-04,38,31.29,1189.02,5,OTC Medicines,Baby & Child,Allergy & Sinus,178,20,At-Risk,4,34,11,1154,140.20,25.2,33.16,25
CUST-00081,Bella Dunne,2060,2024-01-06,2025-11-01,29,60.21,1746.09,3,First Aid,Beauty & Skincare,Health Devices,120,25,At-Risk,1,28,13,1471,201.32,13.7,42.27,29
CUST-00082,Allison Garcia,2176,2024-10-24,2025-10-26,33,32.96,1087.68,3,OTC Medicines,Digestive Health,Fragrance,126,24,At-Risk,1,32,5,1327,47.12,-26.0,41.86,23
CUST-00083,James Smith,2020,2025-04-22,2026-02-28,81,67.83,5494.23,6,Baby & Child,First Aid,OTC Medicines,1,75,Power Shoppers,19,62,3,7816,280.94,9.3,36.24,30
CUST-00084,Liam Jackson,2085,2026-01-09,2026-01-31,3,34.84,104.52,4,Vitamins & Supplements,Beauty & Skincare,OTC Medicines,29,48,New Customers,3,0,3,90,136.94,15.3,32.66,25
CUST-00085,Ellie Burke,2030,2024-10-04,2026-02-20,44,43.56,1916.64,5,Prescription,OTC Medicines,Health Devices,9,74,Regular Shoppers,5,39,11,2799,132.55,29.0,42.25,30
CUST-00086,Liam Doyle,2000,2024-10-25,2026-01-06,15,32.85,492.75,2,OTC Medicines,Fragrance,,54,37,Occasional Visitors,3,12,9,490,46.05,28.1,32.39,34
CUST-00087,Katherine Allen,2155,2025-12-13,2026-01-15,4,42.15,168.60,1,OTC Medicines,,,45,33,Occasional Visitors,1,3,3,165,45.06,-19.7,36.23,22
CUST-00088,Matthew Park,2100,2025-12-19,2026-02-08,7,20.62,144.34,4,Fragrance,First Aid,Digestive Health,21,55,New Customers,5,2,4,184,98.40,-2.2,39.29,30
CUST-00089,Melody Long,2155,2024-08-30,2025-09-12,41,55.96,2294.36,5,Sun Care,Digestive Health,OTC Medicines,170,6,At-Risk,0,41,7,2569,200.77,-3.6,46.29,25
CUST-00090,Maya Fitzgerald,2030,2024-07-14,2026-01-08,36,65.22,2347.92,4,Beauty & Skincare,Sun Care,Personal Care,52,19,At-Risk,5,31,7,3217,241.31,5.5,46.07,35
CUST-00091,Melody Burke,2216,2025-12-26,2026-02-03,21,17.24,362.04,3,Beauty & Skincare,Health Devices,Vitamins & Supplements,26,49,Occasional Visitors,2,19,11,338,42.87,10.1,35.19,22
CUST-00092,Harper Lewis,2025,2026-02-11,2026-02-05,2,66.35,132.70,4,Beauty & Skincare,Allergy & Sinus,Fragrance,24,66,New Customers,5,-3,0,139,214.88,-7.3,42.40,25
CUST-00093,Leah Brown,2150,2024-09-04,2026-02-19,97,130.81,12688.57,8,Vitamins & Supplements,Sun Care,Fragrance,10,78,Power Shoppers,14,83,10,12903,284.99,-19.6,39.00,28
CUST-00094,Liam Murphy,2110,2024-05-22,2025-11-07,35,29.57,1034.95,3,Eye Care,Health Devices,Fragrance,114,9,At-Risk,2,33,9,1237,106.59,-14.8,47.13,31
CUST-00095,Aria Patel,2114,2025-06-18,2026-02-11,51,38.13,1944.63,4,Sun Care,Fragrance,OTC Medicines,18,72,Regular Shoppers,0,51,7,2010,116.50,7.8,47.22,21
CUST-00096,Oliver Kelly,2176,2024-08-06,2026-02-14,12,29.35,352.20,2,Allergy & Sinus,Baby & Child,,15,36,Occasional Visitors,3,9,4,358,81.78,27.0,33.65,32
CUST-00097,Elijah Wang,2060,2025-07-19,2025-12-31,19,44.60,847.40,1,OTC Medicines,,,60,52,Occasional Visitors,3,16,6,919,64.07,20.8,42.79,30
CUST-00098,Anna Murray,2190,2024-04-14,2025-12-05,28,40.52,1134.56,5,Baby & Child,Weight Management,Prescription,86,30,At-Risk,0,28,12,1521,149.35,16.8,44.21,28
CUST-00099,Kaylee Burke,2042,2024-08-26,2026-02-26,93,131.20,12201.60,9,Health Devices,Prescription,Personal Care,3,87,Power Shoppers,13,80,11,18280,461.05,16.3,47.15,24
CUST-00100,Sophia Lopez,2145,2024-08-17,2026-01-23,21,38.37,805.77,2,Eye Care,Sun Care,,37,51,Occasional Visitors,5,16,7,718,68.15,-7.4,45.66,33
CUST-00101,Andrea Harris,2220,2025-11-06,2026-02-14,41,45.45,1863.45,6,Sun Care,Vitamins & Supplements,Eye Care,15,56,Regular Shoppers,5,36,1,2566,78.14,-11.5,34.54,35
CUST-00102,Bella Adams,2190,2023-10-26,2025-12-22,23,66.47,1528.81,5,Personal Care,Vitamins & Supplements,Baby & Child,69,10,At-Risk,5,18,4,1312,114.52,-26.3,40.10,20
CUST-00103,Claire Harris,2080,2025-01-03,2026-02-01,22,19.62,431.64,2,First Aid,Vitamins & Supplements,,28,41,Occasional Visitors,1,21,0,359,42.80,20.6,44.67,27
CUST-00104,Layla Daly,2077,2024-10-06,2026-02-11,39,72.33,2820.87,7,Allergy & Sinus,First Aid,Vitamins & Supplements,18,78,Regular Shoppers,1,38,3,3707,350.54,-0.4,40.78,22
CUST-00105,Layla Martin,2210,2025-02-19,2026-01-01,10,44.47,444.70,3,Beauty & Skincare,Prescription,Health Devices,59,55,Occasional Visitors,0,10,1,654,103.12,-14.2,41.59,32
CUST-00106,Maria Hayes,2125,2025-03-12,2026-02-21,88,133.12,11714.56,11,Beauty & Skincare,Fragrance,Weight Management,8,79,Power Shoppers,18,70,8,15760,510.36,15.4,43.68,32
CUST-00107,Bella Doyle,2220,2025-09-30,2026-02-24,28,36.90,1033.20,8,Vitamins & Supplements,Allergy & Sinus,Baby & Child,5,56,Regular Shoppers,3,25,9,1464,81.72,-7.5,40.95,22
CUST-00108,Layla Murray,2145,2025-04-25,2026-01-11,17,15.95,271.15,3,Fragrance,Personal Care,Prescription,49,30,Occasional Visitors,5,12,3,261,51.30,24.4,43.89,20
CUST-00109,Claire Chen,2050,2024-04-19,2026-02-09,33,44.71,1475.43,6,Health Devices,First Aid,Baby & Child,20,66,Regular Shoppers,3,30,15,1868,219.39,25.4,39.50,27
CUST-00110,Gianna Torres,2040,2025-12-08,2026-02-23,7,40.85,285.95,2,Digestive Health,Sun Care,,6,64,New Customers,5,2,4,265,70.18,-28.0,47.43,34
CUST-00111,Katherine Carroll,2232,2026-02-28,2026-02-19,5,59.56,297.80,3,Eye Care,Health Devices,Fragrance,10,57,New Customers,5,0,0,407,172.91,28.7,45.09,22
CUST-00112,Layla Anderson,2125,2025-01-05,2026-02-02,13,28.15,365.95,4,OTC Medicines,Allergy & Sinus,Personal Care,27,32,Occasional Visitors,1,12,8,363,56.06,7.2,42.89,22
CUST-00113,Ellie Murray,2042,2025-12-22,2026-01-27,21,38.57,809.97,2,Eye Care,Vitamins & Supplements,,33,40,Occasional Visitors,0,21,15,1022,84.04,-20.5,36.99,18
CUST-00114,Thomas Brown,2065,2023-12-09,2026-02-27,81,126.12,10215.72,11,Baby & Child,Weight Management,Personal Care,2,97,Power Shoppers,4,77,13,14243,438.58,3.2,37.55,32
CUST-00115,Autumn McCarthy,2234,2024-09-30,2026-02-23,68,128.48,8736.64,9,Fragrance,First Aid,Baby & Child,6,83,Power Shoppers,18,50,3,11170,349.73,-12.7,37.20,33
CUST-00116,Alexander O'Brien,2077,2024-12-07,2026-01-20,18,29.42,529.56,2,Sun Care,Health Devices,,40,55,Occasional Visitors,1,17,15,782,44.16,-15.0,39.97,22
CUST-00117,Brooklyn Baker,2190,2025-03-23,2026-02-09,27,36.88,995.76,6,Fragrance,Weight Management,Health Devices,20,71,Regular Shoppers,3,24,14,931,63.29,14.6,33.18,19
CUST-00118,Bella Martin,2010,2024-07-14,2026-01-10,15,36.19,542.85,2,Beauty & Skincare,Prescription,,50,42,Occasional Visitors,2,13,15,501,70.25,13.0,38.76,33
CUST-00119,Nora Jones,2153,2023-11-14,2026-02-20,119,59.45,7074.55,12,Eye Care,Beauty & Skincare,Vitamins & Supplements,9,90,Power Shoppers,20,99,3,5907,285.34,-6.5,41.95,20
CUST-00120,Reagan Garcia,2114,2025-09-18,2026-02-25,38,63.35,2407.30,4,Oral Care,Baby & Child,Eye Care,4,62,Regular Shoppers,4,34,0,3336,196.00,25.4,36.98,34
CUST-00121,Victoria Johnson,2155,2024-06-23,2025-09-05,43,78.36,3369.48,2,Weight Management,Oral Care,,177,5,At-Risk,2,41,14,3674,190.79,14.6,32.18,27
CUST-00122,Margaret Patel,2155,2024-12-07,2025-12-21,20,31.76,635.20,4,Beauty & Skincare,Sun Care,Vitamins & Supplements,70,16,At-Risk,1,19,12,734,95.38,-28.2,32.29,26
CUST-00123,Benjamin Baker,2150,2023-12-20,2025-10-07,20,56.54,1130.80,2,Health Devices,Fragrance,,145,26,At-Risk,1,19,11,1316,255.78,-6.9,43.86,31
CUST-00124,Bella Gonzalez,2232,2025-12-01,2026-02-10,43,63.33,2723.19,7,Sun Care,Personal Care,First Aid,19,66,Regular Shoppers,5,38,4,3821,221.38,14.7,42.48,21
CUST-00125,Lily Murphy,2130,2025-07-24,2026-02-17,34,61.83,2102.22,7,Beauty & Skincare,Prescription,Personal Care,12,74,Regular Shoppers,3,31,9,1832,108.91,-28.4,43.57,32
CUST-00126,Valentina Rivera,2020,2024-07-13,2026-02-13,15,45.44,681.60,2,Sun Care,Allergy & Sinus,,16,29,Occasional Visitors,4,11,7,819,196.52,-9.4,32.03,29
CUST-00127,Jack Campbell,2085,2026-01-22,2026-02-12,3,25.84,77.52,4,Fragrance,Baby & Child,Sun Care,17,64,New Customers,1,2,2,68,72.90,24.4,45.78,29
CUST-00128,Penelope Lewis,2000,2025-07-30,2026-01-18,20,46.66,933.20,4,First Aid,Beauty & Skincare,Weight Management,42,25,Occasional Visitors,5,15,4,1226,218.01,-22.1,47.47,24
CUST-00129,Eva Carroll,2216,2026-02-22,2026-02-09,1,67.80,67.80,2,Health Devices,Allergy & Sinus,,20,54,New Customers,1,0,1,80,225.66,-23.6,44.79,22
CUST-00130,Sarah Hayes,2130,2024-07-19,2026-02-11,26,32.58,847.08,4,OTC Medicines,Fragrance,Vitamins & Supplements,18,52,Regular Shoppers,4,22,10,877,151.92,-15.7,42.61,31
CUST-00131,Paisley Byrne,2040,2026-01-28,2026-02-08,2,23.76,47.52,3,Beauty & Skincare,Allergy & Sinus,Prescription,21,70,New Customers,5,-3,1,70,70.60,26.4,44.80,26
CUST-00132,Riley Patel,2114,2024-03-31,2026-02-11,38,52.80,2006.40,5,Oral Care,Fragrance,Personal Care,18,54,Regular Shoppers,4,34,3,2103,211.55,27.5,32.21,24
CUST-00133,Anna White,2160,2024-08-29,2026-02-15,34,59.96,2038.64,7,Prescription,Weight Management,First Aid,14,63,Regular Shoppers,1,33,12,2525,79.77,23.5,37.23,23
CUST-00134,Ryan Li,2050,2025-11-21,2026-01-06,19,46.77,888.63,2,Health Devices,Vitamins & Supplements,,54,55,Occasional Visitors,5,14,6,1245,145.77,-6.6,43.23,31
CUST-00135,Elizabeth O'Connor,2200,2025-06-23,2026-01-14,14,35.11,491.54,1,Weight Management,,,46,33,Occasional Visitors,4,10,12,646,67.78,-9.2,45.77,24
CUST-00136,Savannah Anderson,2232,2025-07-19,2026-02-19,83,73.71,6117.93,11,Fragrance,Eye Care,Allergy & Sinus,10,90,Power Shoppers,9,74,2,6510,357.22,-17.3,46.47,22
CUST-00137,Harper Young,2224,2025-03-17,2026-01-20,7,15.11,105.77,4,Digestive Health,First Aid,Personal Care,40,34,Occasional Visitors,1,6,0,154,27.85,-13.8,38.02,27
CUST-00138,Jasmine Dunne,2232,2025-11-17,2026-02-19,41,63.21,2591.61,3,Digestive Health,Allergy & Sinus,Sun Care,10,50,Regular Shoppers,5,36,15,2378,187.32,24.4,46.38,30
